Category,Media Type,Neighborhood/Site,City,Province,Coordinates,Description,Original Caption,Translated Caption,Source Name,Date of Post (ET),"Time of Post (24HR, ET)","Approx. Time of Incident (24HR, ET)",Fatality/Injury Counts,Link,Incident ID
Fire,Video,,Qeshm,Hormozgan,"26.96565635176808, 56.06817972721345",Fire in Dargahan Passage,آتش‌سوزی در پاساژ درگهان قشم,"Fire in the Dargahan Passage, Qeshm",Manoto,4 July 2025,12:35,,,https://x.com/ManotoNews/status/1941173972240072819,7
Fire,Video,,Qeshm,Hormozgan,"26.96565635176808, 56.06817972721345",Fire in Dargahan Passage,پاساژ نور درگهان همچنان در آتش؛ قشم,"Noor Passage in Dargahan still in flames; Qesh
",Manoto,4 July 2025,13:34,,,https://x.com/ManotoNews/status/1941188833518944644,7
Explosion,Image,Chitgar,Tehran,Tehran,"35.7479120298592, 51.18308278052181",Explosion,عکس دریافتی: 'انفجار در یک برج مسکونی در بزرگراه همدانی تهران، حوالی دریاچه چیتگر. امروز، ۱۹ تیر ۱۴۰۴',"Received photo: 'Explosion in a residential tower on Tehran's Hamedani Highway, near Chitgar Lake. Today, July 10, 2025'  ",Vahid Online,10 July 2025,09:15,,,https://x.com/Vahid/status/1943297937477366172,8
Explosion,"Video, Image",Chitgar,Tehran,Tehran,"35.7479120298592, 51.18308278052181",Explosion at Judiciary Tower,"""انفجار در برج سازمان قضایی، معروف به برج قوه قضاییه در شهرک چیتگر تهران""
35°44'52.5""N 51°10'59.1""E","Explosion at the Judicial Organization Tower, known as the Judiciary Tower in Tehran's Chitgar district
35°44'52.5""N 51°10'59.1""E",Vahid Online,10 July 2025,09:34,,,https://x.com/Vahid/status/1943302736193147145,8
Explosion,Image,Chitgar,Tehran,Tehran,"35.7479120298592, 51.18308278052181",Explosion at Pamchal 9 Tower,"""انفجار در برج پامچال ۹، با نام برج کارکنان سازمان قضایی نیروهای مسلح، شهرک چیتگر تهران""
تصاویر دریافتی از شهروندان مختلف
یکی نوشته واحدی بود در طبقه چهاردهم
35°44'52.5""N 51°10'59.1""E","Explosion at Pamchal 9 Tower, known as the Armed Forces Judicial Organization Staff Tower, Chitgar Town, Tehran
Images received from various citizens
One wrote it was a unit on the fourteenth floor
35°44'52.5""N 51°10'59.1""E",Vahid Online,10 July 2025,09:42,,,https://x.com/Vahid/status/1943304887887929742,8
Explosion,Video,Chitgar,Tehran,Tehran,"35.7479120298592, 51.18308278052181",Explosion at Judiciary Tower,بر پایه گزارش‌ها و تصاویر منتشر شده در شبکه‌های اجتماعی، دقایقی پیش انفجاری در یک برج مسکونی در بزرگراه همدانی، حوالی دریاچه چیتگر تهران رخ داده.  این برج معروف به برج قوه قضاییه یا برج کارکنان سازمان قضایی نیروهای مسلح است و گفته می‌شود واحدی در طبقه چهارده بوده.,"Based on reports and images shared on social media, an explosion occurred a few minutes ago in a residential tower on Hemdani Highway, near Chitgar Lake in Tehran. This tower, known as the Judiciary Tower or the Armed Forces Judicial Organization Employees’ Tower, reportedly had the explosion in a unit on the fourteenth floor.",Manoto,10 July 2025,09:51,,,https://x.com/ManotoNews/status/1943307179634618469,8
Explosion,Video,Chitgar,Tehran,Tehran,"35.7479120298592, 51.18308278052181","Officials say explosion was because of ""gas leak""","جلال ملکی، سخنگوی آتش‌نشانی تهران اعلام کرده انفجار گاز در یکی از طبقات برج پامچال چیتگر عامل حادثه بوده. ملکی گفته «این ساختمان از روز گذشته مجهز به گاز شهری شده و پیش از این از کپسول استفاده شده است، ۴ نفر در این حادثه مصدوم شده‌اند.»
قوه قضاییه هم اعلام کرد که این حادثه به دلیل «بی احتیاطی» رخ داده است.","Jalal Maleki, the spokesperson for the Tehran Fire Department, announced that a gas explosion on one of the floors of the Pamchal Chitgar Tower was the cause of the incident. Maleki stated, ""This building was connected to city gas since yesterday, and prior to that, gas cylinders were used. Four people were injured in this incident.""
The judiciary also announced that the incident occurred due to ""carelessness.""",Manoto,10 July 2025,10:53,,,https://x.com/ManotoNews/status/1943322670277259690,8
Explosion,Video,,Tehran,Tehran,"35.69406817062314, 51.335392098960206",Explosion near Mehrabad airport,"ویدیوهایی از انفجار در نزدیکی فرودگاه مهرآباد شامگاه شنبه در شبکه‌های اجتماعی منتشر شده است.
روابط عمومی فرودگاه مهرآباد در واکنش به این تصاویر، وقوع هرگونه انفجار را تکذیب کرده و مدعی شده است: «هیچ حادثه‌ای در فرودگاه مهرآباد رخ نداده و تمامی پروازها طبق برنامه در حال انجام است.»","Videos of an explosion near Mehrabad Airport on Saturday evening have been shared on social media.
The public relations office of Mehrabad Airport, in response to these images, has denied any explosion and stated: ""No incident has occurred at Mehrabad Airport, and all flights are operating as scheduled.""",Manoto,12 July 2025,11:01,,,https://x.com/ManotoNews/status/1944049363577176216,9
Visible Smoke,Video,Shahrak,Tehran,Tehran,"35.76063824217343, 51.37445604671619",Smoke visible,مشاهده دود در محدوده شهران؛ تهران,Observation of smoke in the Shahrak area; Tehran,Manoto,13 July 2025,04:02,,,https://x.com/ManotoNews/status/1944306551088636135,10
Fire,Video,Enghelab Street,Tehran,Tehran,"35.70171675442399, 51.429730666396836",Building on fire,"ویدیوی دریافتی: ""آتش‌سوزی یک ساختمان در خیابان انقلاب تهران""","Received video: ""A building on fire on Enghelab Street in Tehran""",Vahid Online,14 July 2025,03:28,,,https://x.com/Vahid/status/1944660332103758111,11
Visible Smoke,Video,,Karaj,Alborz,"35.786245506146855, 51.02222589572207",Thick smoke visible from Karaj-Kalak road,مشاهده دود غلیظ جاده کلاک کرج,Observation of thick smoke on the Karaj-Kalak road,Manoto,14 July 2025,07:19,,,https://x.com/ManotoNews/status/1944718424405368916,12
Visible Smoke,Video,,Karaj,Alborz,"35.786245506146855, 51.02222589572207",Smoke visible from Shariar-Karaj road,مشاهده دود در جاده شهریار کرج,Observation of smoke on the Shahriar-Karaj road,Manoto,14 July 2025,08:23,,,https://x.com/ManotoNews/status/1944734558248673550,12
Explosion,Video,Pardisan,Qom,Qom,"34.55589764288079, 50.809589625331505","Explosion, officials say because of gas leak",گزارشگر منوتو ویدیویی از انفجار در منطقه پردیسان قم ارسال کرده است. فرماندار قم اعلام کرده علت انفجار «نشت گاز در یک واحد مسکونی» بوده است، هفت تن مجروح شده‌اند که تنها جراحت دو نفر جدی بوده است.,"The Manoto reporter sent a video of an explosion in the Pardisan area of Qom. The Qom governor announced that the cause of the explosion was ""a gas leak in a residential unit,"" with seven people injured, only two of whom sustained serious injuries.",Manoto,14 July 2025,09:47,,,https://x.com/ManotoNews/status/1944755693652742386,13
Fire,Video,Qaem,Mashhad,Razavi Khorasan,"36.27673846100991, 59.616312331456946",Fire,آتش‌سوزی در محدوده پاساژ قائم مشهد,Fire broke out in the area of Qaem shopping center in Mashhad,Manoto,14 July 2025,20:26,,,https://x.com/ManotoNews/status/1944916560788738087,14
Fire,Video,,Tabriz,East Azerbaijan,"38.0624353085086, 46.333541951197596",Fire in Emerald Tower,رسانه‌ها در ایران تصاویر و گزارش‌هایی از وقوع یک آتش‌سوزی در یک برج در تبریز خبر داده‌اند. بر اساس گزارش‌ها، امروز سه‌شنبه ۲۴ تیرماه یک آتش‌سوزی در برج زمرد جنب برج شهر تبریز رخ داد. هنوز از علت و میزان خسارت این آتش‌سوزی گزارشی منتشر نشده است.,"Media in Iran have reported images and accounts of a fire breaking out in a tower in Tabriz. According to reports, on Tuesday, July 14, a fire occurred in the Emerald Tower next to the City Tower in Tabriz. No reports have yet been released regarding the cause or extent of the damage from this fire.",Manoto,15 July 2025,02:09,,,https://x.com/ManotoNews/status/1945002887806919045,15
Fire,Video,,Arak,Markazi,"34.09219039954624, 49.70155198665609","Fire at warehouse, officials say because of power outage","تلاش آتش‌نشانان برای مهار آتش انبار رنگ و تینر در اراک
روز گذشته، یک انبار رنگ و تینر در شهر اراک دچار آتش‌سوزی شد. به گفته منابع محلی، این حادثه بر اثر قطعی و نوسان برق رخ داده است.","Firefighters' efforts to control the fire at a paint and toner warehouse in Arak
Yesterday, a paint and toner warehouse in the city of Arak caught fire. According to local sources, the incident occurred due to a power outage and electrical fluctuations.",Manoto,17 July 2025,00:48,,,https://x.com/ManotoNews/status/1945707178972598760,16
Fire,Video,Abandan refinery,Abadan,Khuzestan,"30.3509781942227, 48.27818704191782",Fire at Abadan refinery; one person killed. Technical check said it was a pump leak with no sign of sabotage,شهروندان با ارسال ویدیوهایی به ایران‌اینترنشنال، از وقوع آتش‌سوزی در پالایشگاه آبادان در روز شنبه ۲۸ تیرماه خبر دادند. در تصاویر ارسالی، ستون‌های دود غلیظ و شعله‌های گسترده در محل حادثه دیده می‌شود.,"Citizens, by sending videos to Iran International, reported a fire breaking out at the Abadan refinery on Saturday, July 18. In the submitted footage, thick columns of smoke and widespread flames are visible at the scene of the incident.",Iran International,19 July 2025,07:20,,,https://x.com/IranIntl/status/1946530650653184458,17
Explosion,Image,Bahonar,Rasht,Gilan,"37.25109880883433, 49.60513182902168",Explosion,"تصاویر دریافتی با شرح ""انفجار در محله باهنر #رشت""","Received images with the caption ""Explosion in Bahonar neighborhood #Rasht",Vahid Online,20 July 2025,12:54,,,https://x.com/Vahid/status/1946976906999459990,18
Explosion,Video,Bahonar,Rasht,Gilan,"37.25109880883433, 49.60513182902168",Explosion; fire department says it was a gas explosion,"ویدیوی منتشرشده از سوی آتش‌نشانی رشت، ساختمان منفجرشده در خیابان باهنر این شهر را در یکشنبه ۲۹ تیر نشان می‌دهد.
به گفته آتش‌نشانی، این حادثه به دلیل انفجار گاز رخ داده و پنج مصدوم داشته است.","The video released by the Rasht Fire Department shows the exploded building on Bahonar Street in this city on Sunday, July 20.
According to the fire department, this incident occurred due to a gas explosion and resulted in five injuries.",Iran International,20 July 2025,13:51,,,https://x.com/IranIntl/status/1946991413943550204,18
Fire,Video,Oil products facility on Ziyar Road,Isfahan,Isfahan,"32.508013402286984, 51.94155118395198",Fire at oil and petroleum production facility ,سخنگوی سازمان آتش‌نشانی اصفهان، از مهار آتش‌سوزی گسترده در یک کارگاه تولید روغن و مشتقات نفتی در جاده‌زیار خبر داد. این حادثه در فضایی به وسعت ۱۵۰۰ مترمربع رخ داد و به گفته این مقام، با تلاش نیروهای آتش‌نشانی از چند ایستگاه و مناطق مختلف، از گسترش آتش به تاسیسات مجاور جلوگیری شده است. با وجود اینکه محل حادثه خارج از حوزه استحفاظی اصفهان بود، نیروهای عملیاتی به‌سرعت برای کمک اعزام شدند.,"The spokesperson of the Isfahan Fire Department announced that a massive fire in an oil and petroleum derivatives production workshop on Ziyar Road has been contained. The incident occurred in an area spanning 1,500 square meters, and according to this official, the efforts of firefighters from multiple stations and various regions prevented the fire from spreading to adjacent facilities. Although the incident site was outside Isfahan’s jurisdiction, operational forces were quickly dispatched to assist.",Manoto,21 July 2025,11:32,,,https://x.com/ManotoNews/status/1947318786358657184,19
Explosion,Image,,Qom,Qom,"34.60990195113915, 50.853449988378756","Explosion in residential building, officials say because of water heater bursting","At least four people were wounded after an explosion rocked a residential building in the central Iranian city of Qom on Tuesday, Iran’s official IRNA news agency reported, adding that the blast was likely caused by a water heater bursting.",,Iran International,22 July 2025,13:10,,,https://x.com/IranIntl_En/status/1947705926519337057,20
Explosion,Image,,Qom,Qom,"34.60990195113915, 50.853449988378756","Explosion in residential building, gas explosion?",آتش‌نشانی قم از مصدوم شدن پنج تن در پی وقوع انفجار در یک منزل مسکونی واقع در بلوار بعثت قم خبر داده است. خبرگزاری صدا و سیما علت حادثه را انفجار گاز عنوان کرده‌اند و گزارش شده به خودروهای اطراف خسارت وارده شده است و تا فاصله ۴۰ متری شیشه‌های منازل خرد شده است.,"Qom's fire department reported that five people were injured following an explosion in a residential building located on Be'sat Boulevard in Qom. The Islamic Republic News Agency stated that the cause of the incident was a gas explosion, and it has been reported that damage was caused to surrounding vehicles, with windows of homes shattered up to a distance of 40 meters.",Manoto,22 July 2025,13:16,,,https://x.com/ManotoNews/status/1947707428486754496,20
Fire,Video,Anzali Port,Bandar Anzali,Gilan,"37.45459847073634, 49.67298339160612",Fire in Anzali Free Zone,"تصاویر دریافتی از #آتش‌سوزی دیروز در منطقه آزاد انزلی
#بندر_انزلی #بندرانزلی","Images received from yesterday's #fire in the Anzali Duty Free Zone
#Anzali_Port #AnzaliPort",Vahid Online,23 July 2025,13:44,,,https://x.com/Vahid/status/1948076854570565648,21
Visible Smoke,Video,Niavaran,Tehran,Tehran,"35.81614187202389, 51.47021911731394",Thick smoke visible,«دیده شدن دود غلیظ در نیاوران»,"""Thick smoke observed in Niavaran""",Manoto,23 July 2025,11:04,,,https://x.com/ManotoNews/status/1948036380745236566,22
Fire,Video,Isfahan Science and Technology Town,Isfahan,Isfahan,"32.71634182019527, 51.50530920787576",White smoke rising from fire,"ویدیوهای رسیده به ایران اینترنشنال، برخاستن دود سفیدرنگ ناشی از آتش‌سوزی در شهرک علمی و تحقیقاتی اصفهان را نشان می‌دهد.
 
به گزارش رسانه‌های دولتی، این آتش‌سوزی صبح چهارشنبه ۱ مردادماه به وقوع پیوست اما به دیگر کارگاه‌های این مجموعه سرایت نکرد.","Videos received by Iran International show white smoke rising due to a fire in the Isfahan Scientific and Research Complex.

According to state media, this fire broke out on the morning of Wednesday, 1 Mordad, but did not spread to other workshops in the complex.",Iran International,23 July 2025,14:00,,,https://x.com/IranIntl/status/1948080798176784802,23
Fire,Video,Mount Abidar,Sanandaj,Kurdistan,"35.30580995589501, 46.964036480224905",Fire on Mount Abidar,"A large plume of smoke from a fire on Mount Abidar in the western Iranian city of Sanandaj was seen on Thursday, according to videos received by Iran International. Local sources reported hearing an explosion before the blaze. 
Iran’s semi-official ISNA news agency confirmed the fire and said more than 20 hectares of natural land were affected, but the cause of the blaze remains unclear.",,Iran International,24 July 2025,12:20,,,https://x.com/IranIntl_En/status/1948417991382565009,24
Fire,Video,Mount Abidar,Sanandaj,Kurdistan,"35.30580995589501, 46.964036480224905",Fire on Mount Abidar,"ویدیوی رسیده به ایران اینترنشنال، آتش‌سوزی گسترده در کوه آبیدر سنندج را نشان می‌دهد.
",The video received by Iran International shows a widespread fire on Mount Abidar in Sanandaj.,Iran International,24 July 2025,5:59,,,https://x.com/IranIntl/status/1948322213263757786,24
Fire,Video,Mount Derak,Shiraz,Fars,"29.666164309423884, 52.41955287649137",Fire on Mount Derak,گزارشگر منوتو ویدیویی از آتش‌سوزی در کوه دراک شیراز ارسال کرده است. او احتمال می‌دهد علت آتش‌سوزی «انفجار لوله گاز» باشد.,"The Manoto reporter sent a video of a fire on Mount Derak in Shiraz. He suspects the cause of the fire might be a ""gas pipeline explosion.""",Manoto,24 July 2025,13:55,,,https://x.com/ManotoNews/status/1948441960056062147,25
Visible Smoke,"Video, Image",between Kolakchal and Golabdareh,Tehran,Tehran,"35.832319691014355, 51.44105253874583",Smoke seen in mountains - north of Tehran,"تصاویر دریافتی از دود دیده شده امروز در کوه‌های شمال تهران
بالای جماران بین کلکچال و گلابدره","Images received of smoke seen today in the mountains north of Tehran
Above Jamaran between Kolakchal and Golabdareh",Vahid Online,23 July 2025,15:20,,,https://x.com/Vahid/status/1948101053255135434,26
Fire,Video,Shahran oil depot,Tehran,Tehran,"35.78097697781445, 51.2986069930194",Renewed fire at depot ,New footage shows renewed fire at Shahran oil depot in Tehran on July 30. The site was previously targeted during the 12-day war with Israel and burned for days.,,Iran International,30 July 2025,05:25,,,https://x.com/IranIntl_En/status/1950487852623524225,27
Fire,Video,Qaem Hospital,Mashhad,Razavi Khorasan,"36.291514314267495, 59.58200984602858","Fire, fire department said trees caught fire","Videos sent to Iran International show a fire at Qaem Hospital in Mashhad, northeastern Iran, on Thursday. The fire department said two trees in the hospital yard caught fire and crews were extinguishing the flames.",,Iran International,31 July 2025,07:38,,,https://x.com/iranintl_en/status/1950883700272488647?s=46&t=y0nry_iPWfbvqbnoLp9Kvg,28
Visible Smoke,Video,Sadeghieh ,Tehran,Tehran,"35.725344260698215, 51.34141578967535",Smoke visible in the direction of Sadeghieh and also from direction of Mehrabad Airport,یکی از شهروندان با ارسال ویدیویی به ایران‌اینترنشنال در دوشنبه ۱۳ مرداد، دودهای سیاه برخاسته از غرب تهران را نشان می‌دهد و می‌گوید: «یکی از دودها از سمت صادقیه و دیگری احتمالا از سمت فرودگاه مهرآباد است.»,"One of the citizens, by sending a video to Iran International on Monday, August 3, shows black smoke rising from western Tehran and says: ""One of the smokes is from the direction of Sadeghieh, and the other is probably from the direction of Mehrabad Airport.""",Iran International,4 August 2025,08:23,,,https://x.com/IranIntl/status/1952344557485445528,29
Visible Smoke,Video,Mehrabad Airport,Tehran,Tehran,"35.686891935168234, 51.28912857634534",Smoke visible in the direction of Sadeghieh and also from direction of Mehrabad Airport,یکی از شهروندان با ارسال ویدیویی به ایران‌اینترنشنال در دوشنبه ۱۳ مرداد، دودهای سیاه برخاسته از غرب تهران را نشان می‌دهد و می‌گوید: «یکی از دودها از سمت صادقیه و دیگری احتمالا از سمت فرودگاه مهرآباد است.»,"One of the citizens, by sending a video to Iran International on Monday, August 3, shows black smoke rising from western Tehran and says: ""One of the smokes is from the direction of Sadeghieh, and the other is probably from the direction of Mehrabad Airport.""",Iran International,4 August 2025,08:23,,,https://x.com/IranIntl/status/1952344557485445528,30
Visible Smoke,Video,Derak Mountain,Shiraz,Fars,"29.666623966072052, 52.42682074713673",Smoke seen from Derak Mountain,"A large plume of smoke was seen rising from Derak Mountain in Shiraz, southern Iran, on Wednesday, videos sent to Iran International show.",,Iran International,6 August 2025,09:45,,,https://x.com/IranIntl_En/status/1953090176898458034,31
